,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000333XA_Sa_1.4g,6.5635256569482205,13.734,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000333XA_Sa_1.5g,7.032348918158808,14.715,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000334XA_Sa_0.1g,0.2878180736082091,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000334XA_Sa_0.2g,0.5756361472164182,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000334XA_Sa_0.3g,0.8634542208246272,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000334XA_Sa_0.4g,1.1512722944328364,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000334XA_Sa_0.5g,1.4390903680410454,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000334XA_Sa_0.6g,1.7269084416492544,5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000334XA_Sa_0.7g,2.0147265152574634,6.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000334XA_Sa_0.8g,2.302544588865673,7.848000000000001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2
000334XA_Sa_0.9g,2.590362662473882,8.829,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2
000334XA_Sa_1.0g,2.878180736082091,9.81,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3
000334XA_Sa_1.1g,3.1659988096903002,10.791000000000002,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3
000334XA_Sa_1.2g,3.4538168832985088,11.772,2.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,3
000334XA_Sa_1.3g,3.741634956906718,12.753000000000002,2.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,4
000334XA_Sa_1.4g,4.029453030514927,13.734,4.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,4
000334XA_Sa_1.5g,4.317271104123136,14.715,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000361XA_Sa_0.1g,1.2679187487464643,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000361XA_Sa_0.2g,2.5358374974929285,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000361XA_Sa_0.3g,3.803756246239393,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000361XA_Sa_0.4g,5.071674994985857,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000361XA_Sa_0.5g,6.339593743732321,4.905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
000361XA_Sa_0.6g,7.607512492478786,5.886,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
000361XA_Sa_0.7g,8.87543124122525,6.867,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
000361XA_Sa_0.8g,10.143349989971714,7.848000000000001,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
000361XA_Sa_0.9g,11.411268738718178,8.829,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1
000361XA_Sa_1.0g,12.679187487464642,9.81,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,1
000361XA_Sa_1.1g,13.947106236211107,10.791000000000002,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,2
