,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
003802XA_Sa_1.3g,15.270010692932468,12.753000000000002,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4
003802XA_Sa_1.4g,16.44462690008112,13.734,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4
003802XA_Sa_1.5g,17.619243107229767,14.715,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,4
005651XA_Sa_0.1g,1.1343536658958036,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
005651XA_Sa_0.2g,2.268707331791607,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
005651XA_Sa_0.3g,3.40306099768741,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
005651XA_Sa_0.4g,4.537414663583214,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
005651XA_Sa_0.5g,5.6717683294790175,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
005651XA_Sa_0.6g,6.80612199537482,5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
005651XA_Sa_0.7g,7.940475661270623,6.867,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2
005651XA_Sa_0.8g,9.074829327166428,7.848000000000001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2
005651XA_Sa_0.9g,10.209182993062232,8.829,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2
005651XA_Sa_1.0g,11.343536658958035,9.81,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3
005651XA_Sa_1.1g,12.477890324853838,10.791000000000002,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3
005651XA_Sa_1.2g,13.61224399074964,11.772,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3
005651XA_Sa_1.3g,14.746597656645445,12.753000000000002,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3
005651XA_Sa_1.4g,15.880951322541247,13.734,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3
005651XA_Sa_1.5g,17.01530498843705,14.715,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4
006040XA_Sa_0.1g,1.0042874312897576,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
